Year,Protestant Mainline,Protestant Evangelical,Catholic,Jewish,Other,Unaffiliated
2003,0.272,0.138,0.277,0.055,0.044,0.214
2013,0.232,0.170,0.265,0.034,0.063,0.237
2003,0.272007913,0.410,0.687,0.742,0.786,1.000
2013,0.231672742,0.401,0.667,0.700,0.763,1.000
