"","County","County.Code","Delivery.Method","Delivery.Method.Code","Births","Longitude","Latitude"
"425","Fayette County KY",21067,"Vaginal",1,2637,-84.4802606,38.0606478
"426","Fayette County KY",21067,"Cesarean",2,1434,-84.4802606,38.0606478
"427","Jefferson County KY",21111,"Vaginal",1,6479,-85.643487,38.1938097
"428","Jefferson County KY",21111,"Cesarean",2,3478,-85.643487,38.1938097
"429","Kenton County KY",21117,"Vaginal",1,1456,-84.564147,38.9863872
"430","Kenton County KY",21117,"Cesarean",2,828,-84.564147,38.9863872
"431","Unidentified Counties KY",21999,"Vaginal",1,24724,-84.2700179,37.8393332
"432","Unidentified Counties KY",21999,"Cesarean",2,14615,-84.2700179,37.8393332
"433","Unidentified Counties KY",21999,"Not Stated",9,33,-84.2700179,37.8393332
"434","Caddo Parish LA",22017,"Vaginal",1,2365,-93.8655303,32.6136798
"435","Caddo Parish LA",22017,"Cesarean",2,1470,-93.8655303,32.6136798
"436","Calcasieu Parish LA",22019,"Vaginal",1,1695,-93.3388917,30.2089286
"437","Calcasieu Parish LA",22019,"Cesarean",2,1033,-93.3388917,30.2089286
"438","East Baton Rouge Parish LA",22033,"Vaginal",1,3958,-91.09694,30.5693593
"439","East Baton Rouge Parish LA",22033,"Cesarean",2,2183,-91.09694,30.5693593
"440","Jefferson Parish LA",22051,"Vaginal",1,3389,-90.1120696,29.6498691
"441","Jefferson Parish LA",22051,"Cesarean",2,2207,-90.1120696,29.6498691
"442","Lafayette Parish LA",22055,"Vaginal",1,2194,-92.027319,30.1895142
"443","Lafayette Parish LA",22055,"Cesarean",2,1303,-92.027319,30.1895142
"444","Orleans Parish LA",22071,"Vaginal",1,3176,-89.8879304,30.1126874
"445","Orleans Parish LA",22071,"Cesarean",2,1691,-89.8879304,30.1126874
"446","Ouachita Parish LA",22073,"Vaginal",1,1496,-92.2236667,32.4271852
"447","Ouachita Parish LA",22073,"Cesarean",2,762,-92.2236667,32.4271852
"448","Rapides Parish LA",22079,"Vaginal",1,943,-92.539603,31.1461104
"449","Rapides Parish LA",22079,"Cesarean",2,851,-92.539603,31.1461104
"450","St. Tammany Parish LA",22103,"Vaginal",1,1634,-89.9253233,30.4357418
"451","St. Tammany Parish LA",22103,"Cesarean",2,1220,-89.9253233,30.4357418
"452","Tangipahoa Parish LA",22105,"Vaginal",1,1162,-90.3748354,30.6194521
"453","Tangipahoa Parish LA",22105,"Cesarean",2,774,-90.3748354,30.6194521
"454","Terrebonne Parish LA",22109,"Vaginal",1,1089,-90.7532809,29.2299682
"455","Terrebonne Parish LA",22109,"Cesarean",2,616,-90.7532809,29.2299682
"458","Androscoggin County ME",23001,"Vaginal",1,875,-70.1707037,44.1912416
"459","Androscoggin County ME",23001,"Cesarean",2,367,-70.1707037,44.1912416
"460","Cumberland County ME",23005,"Vaginal",1,2059,-70.3870587,43.8132979
"461","Cumberland County ME",23005,"Cesarean",2,809,-70.3870587,43.8132979
"462","Kennebec County ME",23011,"Vaginal",1,754,-69.7038278,44.4499153
"463","Kennebec County ME",23011,"Cesarean",2,340,-69.7038278,44.4499153
"464","Penobscot County ME",23019,"Vaginal",1,1042,-68.5806727,45.3230777
"465","Penobscot County ME",23019,"Cesarean",2,433,-68.5806727,45.3230777
"466","York County ME",23031,"Vaginal",1,1264,-70.6702521,43.4132697
"467","York County ME",23031,"Cesarean",2,557,-70.6702521,43.4132697
"471","Anne Arundel County MD",24003,"Vaginal",1,4423,-76.5488232,38.9530109
"472","Anne Arundel County MD",24003,"Cesarean",2,2380,-76.5488232,38.9530109
"473","Anne Arundel County MD",24003,"Not Stated",9,14,-76.5488232,38.9530109
"474","Baltimore County MD",24005,"Vaginal",1,6116,-76.7336521,39.4647665
"475","Baltimore County MD",24005,"Cesarean",2,3394,-76.7336521,39.4647665
"476","Baltimore County MD",24005,"Not Stated",9,14,-76.7336521,39.4647665
"477","Carroll County MD",24013,"Vaginal",1,1014,-77.0564464,39.5423418
"478","Carroll County MD",24013,"Cesarean",2,541,-77.0564464,39.5423418
"479","Charles County MD",24017,"Vaginal",1,1141,-77.1024902,38.5221781
"480","Charles County MD",24017,"Cesarean",2,665,-77.1024902,38.5221781
"481","Frederick County MD",24021,"Vaginal",1,1821,-77.4701972,39.3844507
"482","Frederick County MD",24021,"Cesarean",2,895,-77.4701972,39.3844507
"483","Harford County MD",24025,"Vaginal",1,1832,-76.3637285,39.5838964
"484","Harford County MD",24025,"Cesarean",2,870,-76.3637285,39.5838964
"485","Howard County MD",24027,"Vaginal",1,2210,-76.964306,39.2873463
"486","Howard County MD",24027,"Cesarean",2,1165,-76.964306,39.2873463
"487","Montgomery County MD",24031,"Vaginal",1,8260,-77.2405153,39.1547426
"488","Montgomery County MD",24031,"Cesarean",2,4795,-77.2405153,39.1547426
"489","Montgomery County MD",24031,"Not Stated",9,12,-77.2405153,39.1547426
"490","Prince George's County MD",24033,"Vaginal",1,7315,-76.8720961,38.7849211
"491","Prince George's County MD",24033,"Cesarean",2,4504,-76.8720961,38.7849211
"492","Prince George's County MD",24033,"Not Stated",9,42,-76.8720961,38.7849211
"493","Washington County MD",24043,"Vaginal",1,1106,-77.719993,39.641762
"494","Washington County MD",24043,"Cesarean",2,562,-77.719993,39.641762
"495","Washington County MD",24043,"Not Stated",9,36,-77.719993,39.641762
"496","Baltimore city MD",24510,"Vaginal",1,5894,-76.6121893,39.2903848
"497","Baltimore city MD",24510,"Cesarean",2,2913,-76.6121893,39.2903848
"498","Baltimore city MD",24510,"Not Stated",9,29,-76.6121893,39.2903848
"501","Barnstable County MA",25001,"Vaginal",1,989,-70.3209113,41.6990958
"502","Barnstable County MA",25001,"Cesarean",2,511,-70.3209113,41.6990958
"503","Berkshire County MA",25003,"Vaginal",1,773,-73.1821623,42.311782
"504","Berkshire County MA",25003,"Cesarean",2,278,-73.1821623,42.311782
"505","Bristol County MA",25005,"Vaginal",1,3672,-71.1448516,41.7938406
"506","Bristol County MA",25005,"Cesarean",2,1991,-71.1448516,41.7938406
"507","Bristol County MA",25005,"Not Stated",9,10,-71.1448516,41.7938406
"508","Essex County MA",25009,"Vaginal",1,5552,-70.9071236,42.7051144
"509","Essex County MA",25009,"Cesarean",2,2887,-70.9071236,42.7051144
"510","Essex County MA",25009,"Not Stated",9,14,-70.9071236,42.7051144
"511","Hampden County MA",25013,"Vaginal",1,3641,-72.6624209,42.1172314
"512","Hampden County MA",25013,"Cesarean",2,1641,-72.6624209,42.1172314
"513","Hampshire County MA",25015,"Vaginal",1,781,-72.6624209,42.3471357
"514","Hampshire County MA",25015,"Cesarean",2,324,-72.6624209,42.3471357
"515","Middlesex County MA",25017,"Vaginal",1,12118,-71.2874209,42.467206
"516","Middlesex County MA",25017,"Cesarean",2,5356,-71.2874209,42.467206
"517","Middlesex County MA",25017,"Not Stated",9,46,-71.2874209,42.467206
"518","Norfolk County MA",25021,"Vaginal",1,4794,-71.1448516,42.17668
