,killed,,,,,,
,Normalized By Population,African American,Police,Hispanic,European American,Asian/Pacific Islander,Native American/Alaska Native
killer,African American,13.98,7.51,0.36,0.24,0.27,
,European American,2.55,7.14,0.44,2.54,0.66,
,Hispanic,0.54,1.79,2.09,0.07,0.13,
,Police,2.07,,0.92,0.65,0.04,0.34
,Asian/Pacific Islander,0.17,0.28,0.05,0.04,1.30,
,Native American/Alaska Native,,0.22,,,,
