State,Lightning_Fatality,Shark_Attacks,Gator_Attacks
Alabama,109,5,5
California,30,89,0
Connecticut,17,1,0
Delaware,15,3,0
Florida,459,603,351
Georgia,111,10,9
Hawaii,0,97,0
Louisiana,139,1,2
Maine,27,1,0
Maryland,126,0,0
Massachusetts,30,2,0
Mississippi,104,1,0
New Hampshire,8,0,0
New Jersey,68,8,0
New York,139,3,0
North Carolina,193,39,0
Oregon,8,22,0
Rhode Island,5,0,0
South Carolina,98,51,9
Texas,213,32,15
Virginia,66,5,0
Washington,5,1,0
