"","Category","Address","Longitude","Latitude"
"75","Alarms","882 Park Avenue, Baltimore, MD 21201",-76.6188182,39.3018953
"76","Alarms","250 W Chase St, Baltimore, MD 21202",-76.6197315,39.3017155
"77","Alarms","5100 Liberty Heights Avenue, Baltimore, MD 21207",-76.7008841,39.3333519
"78","Units Requested","E Monument St & N Milton Ave, Baltimore, MD 21205",-76.5837229,39.2987896
"79","Units Requested","2800 Chesterfield Ave, Baltimore, MD 21213",-76.5709759,39.3258927
"80","Units Requested","6700 Pulaski Hwy, Baltimore, MD 21237",-76.5375416,39.3059536
"81","Units Requested","300 W Lexington St, Baltimore, MD 21201",-76.6203816,39.2919659
"82","Units Requested","Reisterstown Rd & W Rogers Ave, Baltimore, MD 21215",-76.7338154,39.3843237
"83","Units Requested","3211 Greenmount Ave, Baltimore, MD 21218",-76.6091107,39.3275796
"84","Units Requested","N Gay St & E Lanvale St, Baltimore, MD",-76.5897917,39.3076816
"85","Units Requested","5400 York Rd, Baltimore, MD 21212",-76.610292,39.356163
"86","Jacks Condo","1111 Light St
Baltimore, MD 21230",-76.6120158,39.276763
